@relation Act_Set_1

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute Activation {1,-1}

@data
129.741273,102.072561,58.762296,200.806792,10898.484407,7129.202752,0.526526,0.003346,0.063958,0.902863,1
178.932411,230.058591,35.156962,323.045812,74186.892358,49202.323691,0.564787,0.036042,0.036513,0.798545,1
83.449627,50.338577,45.340109,121.60566,7099.188397,4720.469439,0.602257,-0.002676,0.138785,0.974613,1
76.293416,103.079227,15.148516,137.572115,12958.09424,8473.53797,0.567584,-0.00816,0.073702,0.704532,-1
32.733438,36.799669,9.670069,55.837377,8377.683656,5519.386903,0.506633,-0.020358,0.027735,0.80879,-1
200.110548,144.710935,86.711941,313.584656,13886.695591,9154.748446,0.638996,0.021976,0.040603,0.896541,1
167.254778,300.870568,4.593646,330.382931,10405.806715,6826.124497,0.551432,0.00584,0.05473,0.719175,-1
147.976181,205.610527,29.922157,266.29483,9227.752106,6785.212187,0.613272,-0.026411,0.04788,0.819569,-1
105.814038,98.192928,36.47867,175.248363,13438.868296,8778.182528,0.557908,-0.03086,0.047405,0.889707,-1
447.016381,351.17011,190.274854,704.200404,11193.782082,7423.056165,0.585844,0.061288,0.039973,0.745067,1
240.836247,325.733739,37.264957,444.95011,8878.95522,6026.585009,0.604039,0.019144,0.049664,0.945366,1
104.840365,75.378249,48.334853,161.392348,16108.50084,10546.845638,0.592343,-0.029607,0.038384,0.898533,1
143.234373,124.795025,48.696857,237.865069,15395.518216,10056.827718,0.536073,-0.020288,0.051914,0.98274,-1
164.206645,161.769878,58.133626,270.418268,7936.842319,5190.903682,0.600137,0.003475,0.033817,0.909979,1
173.85652,123.729327,85.039367,262.766507,13091.415194,8554.491502,0.628443,-0.021549,0.026822,0.683419,-1
171.726316,140.23711,70.272435,273.254119,13493.6182,8880.95455,0.566412,-0.021477,0.040848,0.957379,-1
362.026176,196.692686,205.330991,518.787185,20569.286586,13456.744703,0.666554,0.002673,0.045859,0.820682,1
90.987757,124.223459,23.875349,158.230441,14338.940943,9382.413534,0.637768,-0.042318,0.08871,0.664958,-1
196.043398,171.413837,70.339956,321.969571,13281.918,8667.256689,0.576503,-0.003511,0.069488,0.999032,1
366.110837,282.122174,169.216672,563.234017,20297.539148,13230.213135,0.544142,0.009059,0.053708,0.974991,1
215.887836,151.500261,104.844493,326.979886,19819.023211,12945.916918,0.493588,-0.007354,0.016361,0.903004,-1
185.184414,121.801396,92.437226,278.018579,14922.06068,9767.867638,0.583257,-0.019986,0.086037,0.862691,1
475.784979,215.025242,328.22033,623.440406,16929.616255,11034.45726,0.54522,-0.020903,0.027962,0.947352,-1
185.097912,127.630099,87.458008,282.85653,8651.203951,5690.375844,0.533966,0.022326,0.047937,0.892393,1
122.556875,144.477456,19.255583,225.958875,15650.692879,10216.853801,0.605385,-0.003854,0.037512,0.629832,-1
36.493207,79.40478,3.022493,70.039198,11035.653736,7276.525743,0.57885,-0.024605,0.024809,0.652651,-1
246.983231,224.261136,82.372706,411.762262,24671.940321,16125.016222,0.557459,-0.001009,0.025282,1.021383,1
227.281779,193.464746,89.789168,364.890578,19378.154409,12656.196275,0.595934,-0.00277,0.057078,1.032962,1
83.105014,193.131242,6.764302,159.696258,17243.872459,11220.595784,0.502602,-0.024557,0.022172,0.762558,-1
79.604577,94.280438,18.43566,140.8719,15361.553061,10058.383298,0.54358,-0.060101,0.054195,0.843179,-1
124.705871,189.732178,26.790206,222.84508,11925.294389,7974.854244,0.511847,0.004831,0.030819,0.691106,-1
195.113494,176.453391,67.100297,323.253417,11507.235083,7542.833847,0.515829,-0.003032,0.042442,0.953014,-1
6.24036,6.867605,1.216371,11.270192,60353.202246,39350.923317,0.639655,-0.058777,0.032197,0.3925,-1
497.007647,350.041577,239.498967,754.808929,23214.552864,15232.015613,0.610773,-0.016444,0.045312,0.850611,-1
92.125909,68.302565,42.917965,141.37978,10964.809569,7190.311439,0.505682,-0.043435,0.047971,0.933157,1
5.892138,15.630032,0.177194,11.620558,10361.082137,6774.370224,0.682356,0.00345,0.058927,0.42557,-1
302.626221,139.643021,189.377629,415.966475,16830.094971,10998.166667,0.587809,-0.024328,0.033765,0.932917,1
8.595374,11.147893,1.833609,15.36673,34493.439276,22508.225668,0.554808,0.013968,0.024633,0.590018,-1
194.621884,216.790497,55.225202,334.21094,12088.090311,7914.643198,0.610947,-0.012271,0.081372,0.871198,1
152.710878,135.348959,46.480953,259.002602,12013.131092,7838.154079,0.542443,0.008203,0.045479,0.876154,1
147.085636,120.204441,62.111834,232.139008,7014.394845,4597.028841,0.613533,0.005454,0.065936,0.949728,-1
134.451854,115.124566,52.274437,216.723297,12516.788909,8274.416149,0.557415,-0.012382,0.0517,0.900057,1
277.706001,230.246536,119.935988,435.696354,13878.808282,9098.115031,0.554785,-0.003083,0.066512,0.967341,1
115.672175,89.96596,49.11969,182.295255,14667.847985,9579.365085,0.465743,-0.016646,0.054089,0.899215,-1
130.170963,145.353358,35.812301,224.639819,13364.188609,8741.047144,0.547397,-0.009492,0.055245,0.657386,-1
277.066016,148.67966,159.358424,394.826804,11334.321463,7830.112312,0.582233,-0.011158,0.04446,1.049433,1
212.23273,156.096709,91.335323,333.143754,112812.617678,73569.521195,0.61222,0.010415,0.04103,0.963304,1
191.415096,198.606828,56.827401,326.22946,12161.092354,8101.745571,0.547923,0.003207,0.081239,0.978412,1
69.03678,78.324902,21.671951,116.477512,13340.954107,8804.067591,0.558593,-0.030873,0.042859,0.860941,-1
183.372748,153.31803,64.952523,301.976478,10337.531266,6828.954959,0.631868,0.017594,0.070099,0.923923,1
432.117435,328.405191,173.343104,691.139808,113114.676488,73790.157458,0.705743,-0.003163,0.045117,0.785495,1
284.865923,152.062287,166.310893,403.520111,15620.728572,10210.513108,0.593601,0.032434,0.051471,0.744906,-1
208.398235,350.645343,60.75357,356.265297,11661.418972,7624.9004,0.6314,-0.021844,0.050724,0.722093,-1
76.451713,107.392958,9.152492,143.889393,37336.981642,24338.000943,0.649045,0.038921,0.046312,0.765874,1
192.425458,135.581827,96.713426,288.221487,11144.797878,7307.405822,0.530554,-0.025039,0.066773,0.906818,1
221.869013,270.151315,24.479576,419.668135,12346.731675,8063.377221,0.627669,-0.041717,0.027207,0.759684,-1
337.220742,211.368034,170.671426,503.815921,14294.250811,9392.26756,0.614538,-0.015773,0.05727,0.828786,-1
80.369235,103.165562,14.923487,145.931063,10538.548881,6966.217447,0.625979,0.039386,0.046042,0.922787,1
129.012306,140.11252,36.214731,221.918943,22523.242759,14644.733669,0.496222,-0.001042,0.040514,0.989059,1
633.376366,406.700756,377.409181,889.659069,19808.080683,12913.765665,0.537042,-0.00552,0.044017,0.942655,1
156.751974,139.872346,52.676607,260.925736,14199.504438,9301.230683,0.561713,-0.040142,0.077908,0.901963,1
116.886108,160.429108,31.292818,202.655523,11434.887255,7487.921012,0.57739,-0.044258,0.050542,0.765943,-1
219.124645,138.859185,109.219682,329.067919,14102.973091,9213.651302,0.568978,-0.001236,0.040463,0.935143,1
99.932177,113.830241,30.8593,169.130318,17009.42976,11097.345579,0.55439,-0.017869,0.045833,0.913306,-1
