@relation Act_Set_1_pca

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute feature31 numeric
@attribute feature32 numeric
@attribute feature33 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature36 numeric
@attribute feature37 numeric
@attribute feature38 numeric
@attribute feature39 numeric
@attribute feature40 numeric
@attribute feature41 numeric
@attribute feature42 numeric
@attribute feature43 numeric
@attribute feature44 numeric
@attribute feature45 numeric
@attribute feature46 numeric
@attribute feature47 numeric
@attribute feature48 numeric
@attribute feature49 numeric
@attribute feature50 numeric
@attribute feature51 numeric
@attribute feature52 numeric
@attribute feature53 numeric
@attribute feature54 numeric
@attribute feature55 numeric
@attribute feature56 numeric
@attribute feature57 numeric
@attribute feature58 numeric
@attribute feature59 numeric
@attribute feature60 numeric
@attribute feature61 numeric
@attribute feature62 numeric
@attribute feature63 numeric
@attribute feature64 numeric
@attribute feature65 numeric
@attribute feature66 numeric
@attribute feature67 numeric
@attribute feature68 numeric
@attribute feature69 numeric
@attribute feature70 numeric
@attribute feature71 numeric
@attribute feature72 numeric
@attribute feature73 numeric
@attribute feature74 numeric
@attribute feature75 numeric
@attribute feature76 numeric
@attribute feature77 numeric
@attribute feature78 numeric
@attribute feature79 numeric
@attribute feature80 numeric
@attribute feature81 numeric
@attribute feature82 numeric
@attribute feature83 numeric
@attribute feature84 numeric
@attribute feature85 numeric
@attribute feature86 numeric
@attribute feature87 numeric
@attribute feature88 numeric
@attribute feature89 numeric
@attribute feature90 numeric
@attribute feature91 numeric
@attribute feature92 numeric
@attribute feature93 numeric
@attribute feature94 numeric
@attribute feature95 numeric
@attribute feature96 numeric
@attribute feature97 numeric
@attribute feature98 numeric
@attribute feature99 numeric
@attribute feature100 numeric
@attribute feature101 numeric
@attribute feature102 numeric
@attribute feature103 numeric
@attribute feature104 numeric
@attribute feature105 numeric
@attribute feature106 numeric
@attribute feature107 numeric
@attribute feature108 numeric
@attribute feature109 numeric
@attribute feature110 numeric
@attribute feature111 numeric
@attribute feature112 numeric
@attribute feature113 numeric
@attribute feature114 numeric
@attribute feature115 numeric
@attribute feature116 numeric
@attribute feature117 numeric
@attribute feature118 numeric
@attribute feature119 numeric
@attribute feature120 numeric
@attribute feature121 numeric
@attribute feature122 numeric
@attribute feature123 numeric
@attribute feature124 numeric
@attribute feature125 numeric
@attribute feature126 numeric
@attribute feature127 numeric
@attribute feature128 numeric
@attribute feature129 numeric
@attribute feature130 numeric
@attribute feature131 numeric
@attribute feature132 numeric
@attribute feature133 numeric
@attribute feature134 numeric
@attribute feature135 numeric
@attribute feature136 numeric
@attribute feature137 numeric
@attribute feature138 numeric
@attribute feature139 numeric
@attribute feature140 numeric
@attribute feature141 numeric
@attribute feature142 numeric
@attribute feature143 numeric
@attribute feature144 numeric
@attribute feature145 numeric
@attribute feature146 numeric
@attribute feature147 numeric
@attribute feature148 numeric
@attribute feature149 numeric
@attribute feature150 numeric
@attribute Activation {1,-1}

@data
-7934.455477,128.088265,-27.739866,64.98141,-0.058879,1.384014,12.453222,-0.362837,-13.845901,-1.62207,-8.385596,10.053781,-18.194124,2.242234,1.325641,-2.035559,6.317787,1.905343,-4.685741,0.41038,-1.754593,-1.758577,-2.934668,-2.93786,2.322677,-3.687735,0.122589,-0.385818,1.206753,-1.124961,-1.150604,0.837791,0.071405,-0.689736,1.571421,0.738831,-0.325328,0.465564,0.448347,-0.005515,0.055941,0.314212,-0.243742,0.28446,0.22652,0.381144,-0.183694,-0.296101,0.043478,0.194773,0.014933,0.184332,-0.53302,0.050344,-0.060086,-0.002755,0.185284,-0.150701,0.210206,0.470767,-0.124153,0.153362,-0.161329,-0.119825,-0.130398,0.120583,-0.160595,0.004901,-0.027072,-0.163943,-0.526551,0.071782,0.050719,-0.051688,-0.319476,-0.055377,-0.250773,0.329344,0.059779,0.082091,0.089585,0.003824,0.130794,0.029825,-0.205252,-0.014343,0.16295,-0.21798,0.007876,0.084501,0.115213,-0.053062,-0.004963,0.161456,0.190525,-0.043875,-0.078351,0.077093,-0.079619,0.043173,0.045849,0.093417,0.01791,0.02847,-0.029007,-0.00157,0.003279,0.048899,0.10432,0.021988,0.019827,0.074605,-0.019296,-0.003157,0.031049,0.002279,0.032984,0.036714,-0.001022,-0.000609,-0.018139,0.015009,0.01867,-0.032943,-0.013885,0.040958,0.005156,0.0226,-0.013746,0.01264,-0.005577,-0.005418,0.009026,-0.007704,-0.010471,-0.001465,0.002817,-0.022319,-0.001989,0.002884,-0.021653,-0.007754,0.008837,-0.007464,0.003891,0.011317,-0.009657,-0.004388,0.000845,0.002059,1
-10250.308005,-91.636638,-20.43801,98.152765,71.312516,4.921708,-2.737694,41.415007,16.794588,-14.166485,-4.805306,-0.560674,3.898215,3.945191,2.269663,-5.476169,-6.24858,-2.951728,0.218367,-4.8029,-1.542147,0.772631,0.492935,0.145023,0.977928,-0.455374,-0.12883,-0.283708,1.707898,1.354484,-1.607239,0.932965,1.126729,0.119698,0.670764,-0.447059,-0.220188,-0.264531,0.262021,-0.290505,-0.100295,-0.226228,-0.413443,-0.132213,-0.683046,0.375909,-0.239595,0.006141,-0.27069,0.407375,0.446882,0.160277,0.324396,-0.396184,0.250489,0.007762,-0.001931,-0.063109,-0.114344,-0.270276,-0.003767,-0.090618,-0.150347,-0.063797,0.01224,0.138724,-0.102351,0.084907,-0.040601,-0.083364,0.06413,0.287598,0.004143,0.110619,-0.197385,0.020004,0.012882,-0.205801,-0.04272,0.075353,-0.103819,0.025559,-0.035023,-0.077049,-0.129249,0.132875,0.062461,-0.019955,0.021957,-0.103311,0.126957,0.066302,0.118803,-0.009165,0.088077,0.040269,0.000225,0.027897,-0.037673,0.096212,0.004658,0.002949,0.010178,-0.016872,-0.079752,0.032737,-0.070377,0.009429,0.03578,-0.051389,0.023599,-0.011871,-0.069441,-0.007075,0.029982,0.008297,0.049975,0.008666,0.024201,0.009318,0.002546,0.03357,-0.009637,0.010483,-0.015345,0.000247,0.004593,0.022906,-0.021423,0.007863,0.003344,0.01964,0.014199,-0.003419,-0.007099,-0.012386,0.01125,0.012164,-0.019082,-0.008627,0.028699,-0.003086,0.007318,-0.007881,0.000826,0.00318,-0.00285,0.00254,-0.002086,0.005932,-1
-1117.947389,55.722845,-33.023506,40.631767,-7.59208,-11.015986,-26.616293,-16.032435,0.376475,7.110855,-6.159903,-7.223321,-4.364601,-6.455527,-0.426953,-0.957063,5.429566,1.46813,-1.425206,-0.56957,2.202483,2.171326,-2.021398,-4.775846,-3.84,2.31876,1.356516,-1.463545,-0.528276,0.573689,1.64806,-1.302703,0.755236,-0.07328,1.198079,-0.166034,-0.548301,-0.1901,0.01525,-0.151999,-0.233365,-0.309573,-0.216566,0.534846,-0.085278,-0.20755,0.151378,0.25943,0.108877,0.445814,0.142344,0.307227,-0.247632,-0.116334,0.097812,-0.325595,0.139871,0.387791,0.047275,0.024385,-0.314653,-0.352676,0.098433,0.291146,0.180581,0.121324,0.113645,-0.14444,0.02752,-0.152442,-0.295444,-0.094239,-0.242381,0.130464,0.105687,0.196943,-0.03805,0.047153,-0.002981,0.034554,-0.199716,0.059233,-0.09372,0.076564,0.16855,-0.095782,-0.062991,-0.055271,-0.00694,-0.007003,-0.092972,-0.069409,0.060353,-0.026991,-0.071247,0.024887,-0.023718,-0.036028,0.03436,-0.098692,-0.074975,0.085741,0.118131,0.10321,0.044264,-0.052553,0.015769,-0.026717,-0.013535,-0.00923,-0.067206,0.027189,-0.009345,-0.002177,-0.043811,0.037225,0.035502,0.024282,-0.012943,0.000309,0.005573,0.028158,-0.001707,-0.024299,-0.002459,0.005966,-0.005231,0.001477,-0.016912,0.004384,-0.008344,0.00533,0.003196,-0.003516,-0.002384,0.003163,0.000441,0.013808,0.014426,-0.007987,-0.010379,-0.009029,-0.000069,-0.009682,0.020796,0.008636,0.006815,-0.009494,-0.007073,0.009067,-1
-8487.254034,-52.381302,-28.9886,-25.375944,31.744333,-17.617766,-1.164338,-10.615866,-10.505263,-1.838184,0.861589,0.911999,-0.904357,-2.430069,2.37418,-3.411689,-10.354487,8.734311,4.761708,-0.086379,2.215705,-1.456274,2.207033,-1.64681,0.792244,-0.709343,-1.163607,0.247325,-0.074766,-2.350855,-1.038408,1.469218,0.057638,0.441011,-0.270545,0.931134,0.602435,0.607042,-0.206184,0.265774,0.179679,-0.416915,-0.099243,0.241057,-0.011069,-0.176163,0.080225,0.189827,0.01158,0.099544,-0.006406,-0.149397,-0.343117,-0.504422,-0.162388,-0.014236,-0.220172,-0.007011,-0.444366,0.204104,0.079335,0.22565,0.152167,0.173102,0.227352,0.003024,-0.02618,-0.046464,-0.159459,-0.120422,0.012101,0.085348,-0.092775,-0.006005,-0.082377,-0.261277,-0.018567,0.244474,-0.031857,0.019824,-0.077289,0.009753,0.114435,0.117022,0.128815,-0.100276,-0.126777,0.097301,0.071209,0.102176,-0.08622,0.035608,-0.116036,-0.048579,0.055915,0.1061,0.070305,0.109,-0.023403,0.037214,-0.067209,0.028625,0.134465,-0.045491,-0.042097,0.052219,0.000424,-0.020483,-0.088353,0.008676,0.003539,0.01161,0.031672,-0.029345,0.005288,0.004776,0.024299,0.038477,0.009029,-0.002836,0.018626,-0.00229,-0.011649,-0.029328,-0.010508,0.043377,0.014943,0.020233,-0.026771,0.002603,0.021349,0.014051,0.003126,-0.010574,-0.014028,-0.006999,0.015008,-0.006367,-0.005153,-0.002753,-0.013678,-0.022247,-0.011334,-0.006067,0.001663,-0.01618,-0.000899,-0.002987,-0.001845,0.004431,1
14079.388163,-244.329517,56.092761,-2.834561,-8.892702,12.380768,-1.996896,-0.575462,4.483257,-3.058927,7.930417,2.209675,0.087115,6.307736,1.489308,-9.281274,0.633996,-2.877559,2.252969,0.90331,2.479826,-2.017329,-0.92952,1.391619,-0.199523,0.463055,0.661746,0.387152,-1.614579,0.572859,-1.491262,-0.581043,-0.220878,-0.94462,-0.107236,0.196742,0.604018,-0.707076,0.408699,0.342094,0.17397,0.08622,0.071955,0.224285,-0.005607,-0.33244,-0.114808,-0.118948,0.132541,0.390663,0.288437,-0.117484,0.508476,0.042911,0.11015,0.130332,0.167063,0.093674,-0.269138,0.53327,0.111605,0.157788,-0.098684,0.203175,-0.250451,-0.161932,-0.015197,-0.137107,0.234274,-0.062857,-0.030398,0.154142,0.149985,-0.364045,0.139171,-0.072501,0.18418,-0.114449,-0.068758,-0.016211,-0.099753,0.106649,0.149448,-0.141197,-0.232279,0.086032,-0.150221,-0.034735,0.139928,0.023248,-0.068042,0.112758,-0.022087,-0.075418,0.023813,0.05013,-0.097385,-0.006585,0.010051,-0.015661,0.013835,-0.059213,-0.137661,-0.102785,-0.005576,-0.005684,-0.073166,0.03027,-0.07026,0.044971,0.101852,-0.018802,-0.020103,-0.001546,-0.040849,0.009854,0.029661,0.006999,-0.035531,-0.009712,-0.026831,0.020444,-0.022526,0.000143,0.025088,0.006802,0.012877,-0.01179,0.02178,-0.015624,-0.016504,0.008923,-0.010965,0.001479,0.005847,0.026376,-0.008751,0.002954,-0.001773,-0.012116,-0.023773,-0.003927,-0.024896,-0.014312,0.005938,0.008524,0.000513,0.004815,0.005944,-0.014161,-1
-7364.918696,48.929946,-15.707169,47.441022,-15.33707,-15.040471,-14.668407,7.220932,-20.820891,4.589392,4.396224,3.824265,9.210559,-9.318865,-3.522622,3.033489,1.813252,-3.640093,-0.689059,-0.642226,4.756699,-0.028912,1.203261,-0.514908,-0.095149,1.161577,0.734041,-0.197743,-0.381908,-1.043148,1.286381,1.096796,-0.239375,0.135987,-0.140228,0.063666,0.22466,-0.520763,-0.194256,-0.079151,0.547274,0.363314,-0.484873,-0.368432,-0.266973,-0.028812,-0.562671,-0.406518,0.618556,0.037965,-0.298059,-0.089043,0.321008,-0.301373,-0.217999,0.022303,0.007976,0.306536,-0.33647,0.122587,0.0977,0.226026,-0.00445,0.112973,-0.129275,-0.076653,0.169005,0.08864,0.148103,0.032888,0.015248,0.199657,-0.038046,0.092269,-0.279902,-0.084403,0.180216,0.028287,-0.105918,0.048697,0.114935,-0.049354,0.005985,-0.018875,0.038059,-0.130635,0.068718,-0.079573,-0.352361,-0.036141,-0.071521,-0.056718,-0.032136,-0.011994,0.069784,0.084223,0.006656,-0.09554,0.015839,-0.018842,-0.020801,-0.111548,-0.065945,-0.069589,0.008201,-0.101761,0.017237,-0.019075,0.077081,-0.067967,-0.043772,0.021228,-0.03173,-0.055843,-0.010132,-0.005088,-0.010962,-0.015079,0.017755,-0.012668,-0.002092,-0.000874,-0.005539,-0.009775,0.001337,-0.000564,0.022971,0.013007,-0.007221,-0.013448,-0.001937,0.011124,0.014877,-0.003613,0.019169,0.021492,-0.005553,0.004265,-0.005392,0.003747,-0.000193,-0.003841,0.00936,0.011435,0.016257,-0.012401,0.017992,-0.010192,-0.007139,-0.011599,1
-4850.505463,-355.954355,-38.727759,-22.242173,13.415824,-1.053787,6.413831,-2.768699,-3.567975,-5.185377,9.405602,-1.969335,3.376715,1.844258,-7.155418,2.35554,-5.724909,0.6246,3.057259,-1.122115,-0.948228,2.313262,-0.555559,-2.519784,-0.275984,-2.10488,1.134188,0.522301,0.168221,0.038202,-3.138682,-1.324383,-0.329845,1.209009,0.09381,0.591851,0.2795,-0.493513,0.484174,0.291529,0.164194,-0.061902,0.135647,0.263938,-0.104863,-0.224121,0.459005,-0.430173,0.07497,0.054551,0.433336,-0.201266,0.09455,0.069996,-0.279044,-0.350058,-0.202594,-0.02603,0.093226,0.129815,0.170116,0.277701,0.495488,0.174709,-0.02366,0.009699,-0.084068,-0.141988,0.229061,-0.08929,-0.286798,-0.036333,-0.216454,0.124611,0.153228,-0.34998,-0.084037,0.286907,0.256969,0.121665,-0.162366,-0.045404,0.019409,-0.147967,-0.172728,-0.227845,-0.170589,0.195408,-0.043396,-0.165968,-0.089479,0.103245,-0.010865,-0.014508,0.090207,0.031642,0.115303,-0.044919,-0.04318,-0.000224,-0.009986,0.066969,-0.053046,-0.06259,-0.020741,-0.015112,-0.001716,0.065926,0.013653,-0.106563,-0.027357,0.018703,0.028884,-0.034201,0.02819,-0.051752,0.053046,-0.027453,-0.012431,0.026194,0.013949,0.000723,0.018584,-0.004746,0.009032,-0.036608,-0.000396,0.027353,0.021567,0.030226,0.018027,-0.019227,0.007835,-0.000532,0.004539,-0.020878,-0.004438,0.005591,0.022982,-0.012603,0.006165,-0.015767,-0.001235,-0.002492,0.000439,0.007588,-0.00339,0.007504,-0.000069,0.004765,-1
-194.832599,175.010823,-27.249703,8.873228,-69.714909,24.32265,36.629651,2.366569,5.655542,-3.391361,-1.240596,-2.717011,1.076956,2.636864,-10.783977,2.448729,14.17529,-12.78944,19.887435,-3.267226,0.064744,-2.389203,1.926582,1.349587,-0.629385,0.506521,0.989447,-0.127869,-2.039102,0.27835,0.689035,1.248336,-0.193737,0.785187,1.972906,0.926459,1.134747,-0.386587,-0.093913,0.072743,0.488879,0.039675,-0.107562,-0.405554,0.3274,0.402068,-0.174844,-0.67337,0.358586,-0.06371,0.089434,-0.085698,0.0088,0.019265,0.251806,-0.05624,0.1901,0.517965,-0.338072,-0.221091,0.014874,-0.079731,-0.148362,-0.319303,0.314333,0.059239,-0.412316,-0.200093,0.246081,0.032932,-0.078368,-0.101567,-0.250986,-0.004576,0.128902,0.031859,-0.014196,0.022273,0.078746,0.091866,0.180462,0.095831,0.210401,0.002938,-0.04188,0.116275,0.137379,0.107294,-0.060513,0.074084,-0.114228,-0.004386,0.070502,-0.019809,-0.055488,0.054466,-0.065264,0.090988,-0.020682,0.007591,0.011518,-0.007252,0.032842,-0.016238,0.023737,0.040563,-0.114479,-0.0068,0.007342,-0.000914,-0.041743,-0.033658,-0.012007,-0.041906,-0.004669,0.022894,0.042525,-0.026251,0.014412,-0.00271,-0.015306,-0.0092,-0.021505,0.015724,0.015275,-0.011501,0.001007,-0.003809,-0.00426,0.006097,-0.019173,-0.001173,-0.006084,-0.006412,-0.009238,-0.000993,-0.003741,-0.009055,0.013494,-0.000363,0.00979,-0.003473,-0.001667,-0.011488,-0.002134,0.015095,0.009555,0.016215,0.006606,-0.001375,1
-12137.003896,-29.43947,-12.108316,28.124185,-16.426753,11.686377,17.560182,-21.670075,8.089886,19.704568,-0.465906,7.393929,0.203857,-6.29347,4.760209,-3.114371,-4.771538,3.244049,0.934645,1.767483,1.382604,-1.820323,-0.96439,-2.688766,2.750967,2.072594,-2.389132,-0.442812,0.29051,-0.771769,0.518477,1.790016,1.178469,0.404361,0.696174,-0.498685,-0.450201,-0.281847,-0.124862,0.369352,-0.081359,-0.121035,0.441182,-0.079061,0.572651,0.065417,0.245054,-0.043059,-0.325293,-0.079573,-0.169108,-0.247859,0.033908,-0.257383,0.296567,0.031508,-0.057928,-0.060728,-0.081619,0.137924,0.068308,-0.298865,0.123033,0.023701,0.099849,0.130338,0.079927,0.274349,-0.194275,0.021562,0.095746,-0.177479,0.21905,-0.114242,0.017689,0.054054,-0.068165,-0.119433,-0.007507,0.052563,-0.191148,-0.149444,0.045039,0.000519,-0.096882,0.099155,-0.164305,-0.015902,0.039724,-0.109955,0.032387,0.061974,0.037542,0.139281,0.177257,-0.089415,-0.012957,-0.162138,-0.107413,-0.04063,-0.052415,0.00508,0.135367,-0.004323,-0.001722,-0.02296,0.076715,-0.004182,0.002811,0.007412,0.039903,0.05806,-0.038725,0.013827,0.004512,-0.004496,0.00013,-0.018492,0.039596,0.01331,0.021538,0.015578,-0.014243,-0.002288,0.009025,-0.006047,-0.013617,-0.013871,0.004795,-0.006149,0.004249,-0.007126,0.004918,0.000549,-0.004928,0.002705,0.00392,-0.009096,-0.003155,-0.005185,0.018714,-0.00808,0.023831,-0.013375,-0.018629,0.005837,-0.005002,0.019738,-0.005613,0.005711,1
-11177.163574,98.917056,145.994177,109.460051,30.25856,14.771976,-4.974129,83.612433,8.474302,4.348382,2.295125,5.121072,1.017795,4.801682,-2.839243,-1.00602,7.768717,-0.897649,-2.909176,5.836396,5.863276,1.973477,1.101925,1.247524,3.206031,-1.564274,0.344933,2.321603,1.633979,-1.531022,-1.869784,-0.758754,-0.619659,-0.533433,0.114398,-0.236271,0.158316,-0.217764,-0.415829,-0.119124,0.082404,-0.112831,0.062638,-0.108655,0.065957,-0.286501,-0.033603,-0.034353,-0.353185,-0.111696,-0.004252,-0.220815,-0.204271,0.265839,-0.122436,-0.045625,0.057082,-0.017281,-0.14408,-0.27398,0.01271,-0.117908,0.169828,-0.126645,0.020119,-0.053553,-0.047308,0.30478,0.137651,-0.278369,-0.079005,-0.052008,0.013328,0.061506,0.013372,0.109257,-0.183048,0.121911,-0.113325,0.051336,-0.069156,0.163547,0.036451,-0.185114,-0.041074,0.001549,0.028392,0.102708,-0.119714,-0.044284,0.005348,0.076636,0.136555,0.031574,-0.059552,-0.013071,-0.074645,-0.098678,0.070771,-0.013116,0.002345,0.018303,-0.095708,0.041991,0.073172,0.021522,-0.007883,0.074718,-0.049631,0.031261,-0.056652,0.049035,0.015278,-0.047976,-0.00829,-0.022665,0.030389,0.028102,-0.012089,0.014194,0.01384,0.019565,-0.011031,0.028942,0.0233,-0.00666,-0.02633,0.008074,-0.015808,0.012453,-0.023617,-0.001168,0.014422,-0.005801,0.018964,0.019261,-0.010318,-0.014358,-0.005514,-0.012084,0.009089,-0.017107,0.01373,-0.000692,0.006141,0.000634,-0.002705,0.001018,0.019074,0.012725,-1
