@relation Act_Set_2

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute feature31 numeric
@attribute feature32 numeric
@attribute feature33 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature36 numeric
@attribute feature37 numeric
@attribute feature38 numeric
@attribute feature39 numeric
@attribute feature40 numeric
@attribute feature41 numeric
@attribute feature42 numeric
@attribute feature43 numeric
@attribute feature44 numeric
@attribute feature45 numeric
@attribute feature46 numeric
@attribute feature47 numeric
@attribute feature48 numeric
@attribute feature49 numeric
@attribute feature50 numeric
@attribute feature51 numeric
@attribute feature52 numeric
@attribute feature53 numeric
@attribute feature54 numeric
@attribute feature55 numeric
@attribute feature56 numeric
@attribute feature57 numeric
@attribute feature58 numeric
@attribute feature59 numeric
@attribute feature60 numeric
@attribute feature61 numeric
@attribute feature62 numeric
@attribute feature63 numeric
@attribute feature64 numeric
@attribute feature65 numeric
@attribute feature66 numeric
@attribute feature67 numeric
@attribute feature68 numeric
@attribute feature69 numeric
@attribute feature70 numeric
@attribute feature71 numeric
@attribute feature72 numeric
@attribute feature73 numeric
@attribute feature74 numeric
@attribute feature75 numeric
@attribute feature76 numeric
@attribute feature77 numeric
@attribute feature78 numeric
@attribute feature79 numeric
@attribute feature80 numeric
@attribute feature81 numeric
@attribute feature82 numeric
@attribute feature83 numeric
@attribute feature84 numeric
@attribute feature85 numeric
@attribute feature86 numeric
@attribute feature87 numeric
@attribute feature88 numeric
@attribute feature89 numeric
@attribute feature90 numeric
@attribute feature91 numeric
@attribute feature92 numeric
@attribute feature93 numeric
@attribute feature94 numeric
@attribute feature95 numeric
@attribute feature96 numeric
@attribute feature97 numeric
@attribute feature98 numeric
@attribute feature99 numeric
@attribute feature100 numeric
@attribute feature101 numeric
@attribute feature102 numeric
@attribute feature103 numeric
@attribute feature104 numeric
@attribute feature105 numeric
@attribute feature106 numeric
@attribute feature107 numeric
@attribute feature108 numeric
@attribute feature109 numeric
@attribute feature110 numeric
@attribute feature111 numeric
@attribute feature112 numeric
@attribute feature113 numeric
@attribute feature114 numeric
@attribute feature115 numeric
@attribute feature116 numeric
@attribute feature117 numeric
@attribute feature118 numeric
@attribute feature119 numeric
@attribute feature120 numeric
@attribute feature121 numeric
@attribute feature122 numeric
@attribute feature123 numeric
@attribute feature124 numeric
@attribute feature125 numeric
@attribute feature126 numeric
@attribute feature127 numeric
@attribute feature128 numeric
@attribute feature129 numeric
@attribute feature130 numeric
@attribute feature131 numeric
@attribute feature132 numeric
@attribute feature133 numeric
@attribute feature134 numeric
@attribute feature135 numeric
@attribute feature136 numeric
@attribute feature137 numeric
@attribute feature138 numeric
@attribute feature139 numeric
@attribute feature140 numeric
@attribute feature141 numeric
@attribute feature142 numeric
@attribute feature143 numeric
@attribute feature144 numeric
@attribute feature145 numeric
@attribute feature146 numeric
@attribute feature147 numeric
@attribute feature148 numeric
@attribute feature149 numeric
@attribute feature150 numeric
@attribute feature151 numeric
@attribute feature152 numeric
@attribute feature153 numeric
@attribute feature154 numeric
@attribute feature155 numeric
@attribute feature156 numeric
@attribute Activation {1,-1}

@data
1.613843,0.63713,0.43878,0.160306,0.062979,0.071296,0.061848,0.075889,0.026721,0.085607,0.071701,0.056055,-0.083921,0.012277,0.010193,0.020853,0.01849,-0.005572,-0.026561,0.009548,0.028439,0.024069,0.00791,-0.002649,-0.021342,-0.01885,0.219584,0.123715,-0.002617,-0.036153,-0.308407,-0.014004,0.333848,0.339334,0.009908,-0.061937,-0.035473,-0.156133,0.095798,0.436432,0.616236,0.384476,0.401623,0.308837,0.285385,0.290781,0.316349,0.290313,0.249916,0.231367,0.314675,0.442415,3.961173,4.665407,3.223374,3.429922,2.814133,2.710365,2.709876,2.731708,2.483068,2.393506,2.386507,2.679968,3.470924,55.978421,58.685269,46.039948,48.435689,40.191184,38.864401,39.476547,39.575075,34.692964,34.369977,35.266142,36.565333,49.416335,2.450604,1.779764,1.125113,0.836906,0.608517,0.582742,0.60232,0.612755,0.513828,0.527475,0.466581,0.587237,0.580642,6.875027,9.276105,5.554988,5.819076,4.900554,4.809104,4.683571,5.029632,4.474565,4.233233,4.147627,4.975357,6.166999,101.379709,106.112021,82.205779,89.177956,70.323886,70.75415,70.289619,72.815378,63.263306,61.494677,62.835313,63.065964,87.758651,0.923892,-0.540681,-0.225542,-0.554495,-0.487445,-0.430322,-0.41343,-0.510541,-0.535466,-0.366589,-0.355528,-0.557042,-1.052567,-7.374792,-8.17385,-6.001163,-6.424134,-4.984073,-4.846721,-5.019227,-4.701675,-4.50462,-4.459572,-4.355173,-4.841865,-6.751014,-99.95708,-107.023807,-79.158813,-84.237643,-70.912979,-66.283184,-71.582489,-69.150219,-62.489124,-62.611537,-63.967901,-68.962512,-88.796223,1
1.086345,0.332005,0.256457,0.111781,0.196283,0.168753,0.126421,0.11746,0.099059,0.032693,-0.019966,0.023875,0.034217,0.065304,0.001266,0.021775,0.03422,0.006364,0.020396,0.009863,-0.012782,0.005512,0.017117,-0.006876,0.00149,0.00981,-0.51175,0.169649,-0.230116,-0.138942,-0.161442,-0.23969,-0.126981,0.092936,-0.189381,-0.180374,-0.168461,0.130554,0.01098,0.5882,0.319736,0.301487,0.305283,0.292881,0.312132,0.269371,0.236635,0.250994,0.242396,0.226863,0.223414,0.184461,3.257802,2.699522,2.481758,2.491899,2.262856,2.175537,2.341686,2.108897,2.055546,1.921816,1.778133,1.681816,1.60317,44.841398,38.975911,34.54243,35.717983,32.621613,31.079193,33.564867,30.783226,29.298045,28.140179,25.808228,23.142476,22.917833,2.09445,0.900325,0.812388,0.653225,0.68501,0.831416,0.579463,0.521675,0.551029,0.472069,0.383757,0.438985,0.345648,5.254569,4.83045,4.423942,4.488535,4.115951,3.917517,4.151049,3.699811,3.618032,3.48826,3.010397,2.90772,2.846683,85.912349,68.633621,59.857828,62.849408,57.866501,52.427592,59.602072,51.9105,50.301795,49.834579,44.344953,38.711953,39.464985,0.037102,-0.230961,-0.272516,-0.421691,-0.332013,-0.294905,-0.391134,-0.293645,-0.31757,-0.382405,-0.413432,-0.345576,-0.29716,-6.531381,-4.581345,-4.283448,-4.350453,-3.862647,-3.654159,-4.012842,-3.642891,-3.600187,-3.253865,-3.23331,-3.081424,-2.860177,-73.999606,-68.69349,-60.601623,-63.07235,-57.679181,-55.017083,-57.63804,-53.802922,-51.113061,-48.810325,-45.04195,-41.449052,-40.196528,1
1.003413,0.08784,0.175669,-0.0122,0.241301,-0.084538,0.061582,0.018505,-0.118352,0.005581,-0.13294,0.00936,0.013533,-0.014842,0.005412,-0.023197,-0.016095,0.029349,-0.03316,-0.017845,-0.017837,-0.022723,-0.002452,0.012577,-0.004667,-0.036766,-0.73296,0.357907,0.480772,-0.258551,0.037918,0.207464,-0.192998,0.095768,0.161389,-0.043784,-0.018704,0.225342,0.044315,0.629092,0.538195,0.331347,0.305353,0.316359,0.28831,0.250795,0.262314,0.29409,0.260179,0.328988,0.346434,0.269303,3.965618,4.762766,3.103722,2.940949,2.638034,2.635354,2.192556,2.376146,2.361233,2.117428,2.557469,2.590189,2.208315,54.633206,64.524772,44.628973,40.904119,39.22816,36.975684,30.36132,34.816014,33.250175,30.964477,35.370623,36.952393,32.285955,2.134242,0.973173,0.74567,0.551576,0.810041,0.454651,0.486262,0.46809,0.392912,0.443495,0.434366,0.642404,0.488302,7.528554,7.435804,5.252864,4.889984,4.739558,4.738462,3.930155,4.147581,3.763382,3.69879,4.339152,4.613652,3.671907,96.79734,122.258481,78.143948,72.034315,68.433086,66.380005,55.204325,59.090022,58.409126,54.089506,62.177487,65.912659,55.072436,-0.056883,-0.967117,-0.418669,-0.516678,-0.299471,-0.552402,-0.397539,-0.446175,-0.648266,-0.476872,-0.709936,-0.544082,-0.45431,-6.973226,-9.957235,-5.813162,-5.493795,-4.377904,-4.610612,-3.859174,-4.253729,-4.406328,-3.746708,-4.760442,-4.698311,-4.146309,-100.676005,-108.737363,-80.258294,-71.072267,-66.559726,-63.892102,-47.727712,-61.739463,-55.794616,-54.659031,-64.910549,-68.078556,-58.465354,1
1.533678,0.699129,0.400713,-0.091811,0.276126,0.152491,0.023686,0.180436,0.001127,0.054073,0.120686,0.089935,-0.055651,-0.041924,0.001317,0.001246,-0.009257,-0.014352,-0.01227,-0.033714,0.00335,0.010273,-0.004753,-0.003253,0.039056,-0.038254,0.217657,-0.197768,0.03475,0.279863,0.113968,0.07879,-0.050345,0.121701,0.062254,0.084423,0.035504,0.146808,0.01327,0.574487,0.756454,0.444509,0.525431,0.366841,0.361677,0.290076,0.278544,0.290212,0.324751,0.378489,0.305859,0.297354,3.776478,4.253633,3.09494,3.065899,2.836202,2.511338,2.214679,2.515245,2.240232,2.344708,2.235765,2.350409,2.417062,49.523554,53.803847,42.868285,43.054418,39.79679,35.594815,31.674132,36.86679,31.166,31.829892,29.867855,31.873158,33.72135,2.445497,1.883349,1.157117,0.805127,0.897851,0.773286,0.53163,0.645124,0.493452,0.499565,0.858818,0.644512,0.480645,6.918773,6.801454,6.125456,5.499478,5.027386,4.69559,3.822946,4.334546,4.155495,4.169221,4.030161,4.368604,4.098581,92.55675,98.192886,78.137039,73.767778,73.934963,64.887661,55.109458,68.115511,56.895854,57.748819,53.270866,55.197393,60.468649,0.399997,-0.742205,-0.37302,-0.915997,-0.366237,-0.438717,-0.472289,-0.310758,-0.522612,-0.64263,-0.568416,-0.468846,-0.602258,-7.135226,-8.78315,-5.145998,-5.504434,-5.177873,-4.251873,-3.960122,-4.653487,-3.964961,-4.125592,-3.889503,-3.914068,-4.431173,-88.794358,-98.9373,-79.4879,-80.075735,-69.574956,-61.62264,-55.694284,-62.256065,-54.830279,-54.230501,-53.4574,-57.688874,-61.321397,-1
2.180893,0.740526,0.572015,0.209781,0.153265,0.165406,0.027021,-0.009943,0.084867,0.113499,0.084898,0.149637,0.001931,0.020568,0.000514,0.017171,-0.011907,0.011601,-0.024076,-0.007995,-0.009785,-0.000305,-0.019172,-0.001752,-0.016947,0.010632,0.242867,0.08423,-0.143801,-0.221317,0.137069,0.188587,-0.067184,0.021247,0.016851,0.148778,0.132247,0.02471,0.037894,0.492163,0.544435,0.337116,0.367657,0.335006,0.285284,0.242015,0.261717,0.227786,0.230009,0.283572,0.288608,0.259261,3.958165,3.735068,2.75752,2.617435,2.69396,2.457835,2.201232,2.051758,2.069447,1.926542,2.142494,2.433613,2.151883,56.977847,51.66416,38.508469,35.976419,38.746413,34.626455,32.668724,29.103578,29.428501,27.444403,29.350287,33.918066,31.02811,2.945187,1.46894,1.149072,0.770497,0.73294,0.648575,0.444421,0.470478,0.479378,0.486477,0.603876,0.637688,0.479673,6.993038,6.748114,4.763371,4.615748,4.624011,4.401017,3.821767,3.619622,3.811261,3.336474,3.647375,4.428653,3.902945,112.022615,90.461983,66.159944,58.772032,71.658858,62.617918,58.960625,50.183088,52.407259,48.451366,53.8145,60.650318,55.900562,1.213265,-0.500757,-0.036006,-0.52232,-0.463729,-0.343414,-0.406123,-0.46561,-0.322805,-0.323424,-0.399737,-0.380774,-0.463085,-7.403921,-6.884718,-5.026576,-4.671361,-5.069292,-4.413944,-4.061753,-3.72693,-3.509696,-3.459226,-4.003206,-4.274907,-3.82891,-92.732082,-97.149234,-71.449211,-66.132986,-68.22371,-59.776943,-58.964602,-52.885018,-52.735807,-47.667717,-50.190753,-60.393619,-55.443043,-1
0.62479,0.877416,0.037732,0.503574,0.248085,0.209529,-0.07556,0.053462,-0.054846,0.004315,-0.00258,0.211489,0.144517,-0.00479,0.001768,-0.035917,0.023783,0.001036,-0.006033,0.003141,0.02089,0.002238,-0.005622,0.003642,-0.000256,0.011635,-0.028277,0.155342,0.112342,0.106387,0.330437,-0.026979,-0.272575,-0.197047,-0.03577,0.157673,0.080676,0.059032,0.093891,0.296344,0.325669,0.399353,0.348008,0.25547,0.241172,0.233668,0.230497,0.218195,0.223288,0.201013,0.23308,0.203042,2.844004,2.874965,3.180973,2.652807,2.260315,2.252926,2.302136,1.989304,1.981133,2.012791,1.890877,2.00967,1.743834,40.819329,39.540345,42.881535,35.913556,31.320575,32.47064,32.926794,27.644593,28.17572,28.469499,27.321007,27.560463,24.127882,1.145371,1.455402,0.756634,1.102519,0.694871,0.643195,0.331792,0.44766,0.327415,0.419022,0.350253,0.592361,0.505015,4.758636,4.657111,5.031938,4.597037,3.949652,4.082806,4.259687,3.620108,3.549908,3.404773,3.317619,3.53062,3.060589,76.202458,72.45031,77.058807,61.461271,55.421879,56.208033,59.706399,48.898231,49.197295,49.56587,48.067417,49.750212,43.898798,0.094431,0.314616,-0.582595,-0.105603,-0.204762,-0.202561,-0.491642,-0.371266,-0.443241,-0.366396,-0.345932,-0.233375,-0.211823,-5.271887,-5.574142,-6.17908,-4.717485,-3.967234,-3.797044,-3.919132,-3.377962,-3.436849,-3.669192,-3.342094,-3.606734,-3.143829,-69.868764,-67.983255,-75.669865,-63.042445,-54.551235,-57.745694,-56.214282,-47.966398,-49.425695,-51.265381,-47.056379,-47.882551,-41.298753,1
1.995917,0.519073,0.585115,0.258409,0.121507,0.065853,0.252128,0.19188,0.168132,0.228647,-0.052257,-0.007143,-0.138343,-0.013149,-0.043443,-0.00099,-0.018013,0.015552,-0.000176,-0.009294,0.02681,0.004947,-0.007486,-0.023963,-0.037046,-0.009192,-0.022901,0.113712,0.206069,0.143276,0.014911,0.018846,-0.094232,-0.079416,-0.136598,-0.06054,0.013283,-0.175006,-0.025108,0.560957,0.520349,0.33764,0.403477,0.345228,0.325642,0.308235,0.334754,0.331911,0.482018,0.342941,0.312678,0.336675,4.199312,3.440373,2.775574,2.780747,2.510556,2.397002,2.480341,2.309671,2.316471,2.97737,2.376796,2.273859,2.411641,55.600133,46.103713,38.741856,38.989721,34.184528,31.716622,34.102608,31.010097,32.490521,40.679349,31.588644,31.349272,31.463089,2.982695,1.497317,1.111277,0.867609,0.75531,0.720811,0.808467,0.722769,0.771526,1.112816,0.523769,0.384496,0.290871,6.789423,6.191375,4.878893,4.892328,4.514606,4.116939,4.377441,4.002213,4.230503,4.99841,4.349328,3.909943,4.501545,103.155882,82.220811,70.594039,73.03661,63.829775,55.367467,60.515994,56.801661,60.875343,76.546874,57.337377,56.823183,57.037182,1.04179,-0.364319,-0.057025,-0.552976,-0.438831,-0.436279,-0.301807,-0.492142,-0.426668,-0.610367,-0.720362,-0.731399,-0.913671,-8.63605,-6.309095,-5.236152,-5.206771,-4.571007,-4.456596,-4.592713,-4.342058,-4.156696,-5.825651,-4.384982,-4.247505,-4.235546,-100.501303,-84.625987,-68.171994,-66.603876,-61.298906,-56.954386,-59.737358,-53.48184,-56.880662,-69.822041,-56.377335,-57.077754,-57.844434,-1
1.321815,0.41139,0.542697,0.114271,0.153634,0.223979,0.173164,0.004501,0.090133,0.041604,0.014443,-0.043604,-0.073651,0.005726,0.002484,-0.037546,0.016761,0.001052,0.015054,0.021806,0.033494,0.01461,-0.002203,0.003658,0.004513,0.008872,0.065334,-0.075447,0.12207,-0.108643,0.006651,-0.091309,-0.177725,-0.176609,-0.027093,0.045004,0.105537,-0.170106,0.095755,0.473257,0.358996,0.352456,0.310469,0.293625,0.293448,0.306524,0.30396,0.336994,0.290661,0.328045,0.369253,0.305497,3.054425,3.324799,2.55536,2.541069,2.294618,2.186551,2.3965,2.179699,2.233816,2.224272,2.37966,2.555518,2.490386,41.299638,48.367476,34.26985,36.036922,32.701994,29.631567,33.469562,29.538647,31.404601,30.874748,33.893552,34.388959,34.175469,2.049448,1.112477,1.100042,0.639444,0.626323,0.725423,0.699834,0.542065,0.625184,0.534198,0.583001,0.519688,0.390163,5.273756,6.52272,4.702939,4.485681,4.291973,3.711179,4.207242,3.879773,3.924697,4.048267,4.319919,4.721143,4.658534,74.037698,79.638828,61.439048,63.573646,56.571413,51.809642,61.610622,52.462555,55.221373,55.70616,61.199233,61.628505,63.899955,0.37874,-0.15548,-0.127842,-0.460898,-0.412021,-0.293034,-0.396168,-0.532123,-0.560158,-0.473417,-0.554825,-0.8023,-0.686498,-5.861892,-5.328368,-4.367434,-4.475972,-3.854054,-4.062101,-4.531483,-3.822046,-3.989978,-3.990759,-4.238323,-4.729051,-4.298325,-75.441571,-93.113347,-58.598085,-64.220664,-57.926977,-53.517274,-58.304408,-53.596963,-54.942848,-52.332272,-60.975857,-63.836474,-59.748132,-1
1.112256,0.795314,0.187746,0.020306,0.11372,0.056012,-0.001502,-0.002659,-0.003275,0.085051,-0.073424,-0.014255,0.173763,0.03591,0.010328,0.016784,0.009873,-0.01739,-0.001201,-0.002406,-0.003207,0.013256,-0.007206,0.009892,0.014616,-0.001523,-0.05137,0.010388,0.101447,-0.08034,0.002107,0.010102,-0.011039,0.100118,-0.01562,-0.088882,0.029147,0.019375,-0.067359,0.43761,0.550876,0.390582,0.411814,0.327083,0.299142,0.280646,0.260854,0.224125,0.227072,0.237942,0.207147,0.264248,3.408708,3.556498,2.974912,3.239233,2.479123,2.468861,2.349787,2.315839,2.03257,2.048604,2.170225,1.769009,2.117159,46.04437,42.550484,41.458103,44.142162,33.440338,33.406053,32.23554,32.613441,29.41209,29.714462,31.304878,24.544916,29.615297,1.923389,1.734275,0.876563,0.702297,0.715784,0.581459,0.480775,0.447561,0.402859,0.472165,0.326397,0.344406,0.644475,5.643346,6.652979,5.403856,5.587893,4.495626,4.507462,4.075904,3.79939,3.693897,3.570506,3.912884,3.216221,3.696103,80.705383,74.681164,72.941569,80.559068,58.689285,60.825423,56.477722,57.075068,52.346585,52.398709,54.875995,43.835244,52.444698,0.369471,-0.242945,-0.468708,-0.74611,-0.442527,-0.454101,-0.50103,-0.461283,-0.382535,-0.327289,-0.502176,-0.384598,-0.264702,-6.469836,-6.196233,-5.099872,-5.927115,-4.252733,-4.271115,-4.097914,-4.227689,-3.461472,-3.595951,-3.737109,-3.193991,-3.846614,-82.179779,-77.738535,-75.834953,-80.312856,-58.785193,-58.608284,-55.701362,-54.846936,-51.193193,-51.852319,-56.00461,-44.697705,-50.747977,-1
0.780104,0.964052,0.497946,0.273637,0.132166,0.077696,0.011496,0.014319,-0.043718,0.041836,0.081484,0.039113,0.24766,-0.099744,0.015383,-0.025403,-0.044155,-0.009699,0.007091,0.010632,-0.002897,0.008394,0.001331,-0.006097,-0.013162,0.005038,-0.327759,0.139257,0.210699,0.029852,0.278303,-0.1793,0.002581,0.297188,-0.109112,0.056086,-0.149229,-0.188797,-0.293497,0.724226,0.294251,0.363158,0.260771,0.213729,0.260703,0.225175,0.204938,0.188536,0.18861,0.210464,0.284074,0.226134,4.347991,3.02251,2.994138,2.306136,2.134523,2.271714,2.29094,2.105535,1.855641,1.782271,1.957908,2.159244,1.989657,60.581233,43.484402,43.484347,32.852952,31.410377,31.59961,33.602194,31.334342,27.388462,25.282004,27.458535,31.134592,28.169317,2.355454,1.466448,1.259484,0.691687,0.522076,0.502852,0.409075,0.384192,0.287973,0.373903,0.447871,0.5645,0.62367,7.818129,5.65694,5.161003,3.881549,3.800868,3.790364,3.953307,3.593518,3.192029,3.069638,3.52547,3.902782,3.262493,111.421943,76.692054,79.314504,57.370575,55.23962,53.500775,59.089268,55.489732,48.208311,45.411369,47.574773,53.722426,51.01142,-0.225176,0.416587,-0.039125,-0.238207,-0.226529,-0.42237,-0.382087,-0.347424,-0.380591,-0.292584,-0.294288,-0.43054,-0.148081,-7.870015,-5.045194,-5.442941,-4.0818,-3.941213,-4.122558,-3.991975,-3.689378,-3.352066,-3.114256,-3.271625,-3.798948,-3.625124,-107.345677,-74.521778,-75.224644,-57.405186,-58.163724,-58.201486,-58.831186,-54.614524,-47.386881,-43.291533,-46.532929,-56.258611,-46.326527,1
