@relation 'Act_Set_1-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,12-19,21-50,52-53,55-69,71-91,93-106,108,110-133,135-141,143-166'

@attribute feature3 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature20 numeric
@attribute feature51 numeric
@attribute feature54 numeric
@attribute feature70 numeric
@attribute feature92 numeric
@attribute feature107 numeric
@attribute feature109 numeric
@attribute feature134 numeric
@attribute feature142 numeric
@attribute Activation {1,-1}

@data
58.762296,0.902863,1.613843,0.085607,0.616236,0.308837,2.731708,0.836906,4.809104,5.029632,-0.41343,-8.17385,1
35.156962,0.798545,1.086345,0.032693,0.319736,0.292881,2.108897,0.653225,3.917517,3.699811,-0.391134,-4.581345,1
45.340109,0.974613,1.003413,0.005581,0.538195,0.316359,2.376146,0.551576,4.738462,4.147581,-0.397539,-9.957235,1
15.148516,0.704532,1.533678,0.054073,0.756454,0.366841,2.515245,0.805127,4.69559,4.334546,-0.472289,-8.78315,-1
9.670069,0.80879,2.180893,0.113499,0.544435,0.335006,2.051758,0.770497,4.401017,3.619622,-0.406123,-6.884718,-1
86.711941,0.896541,0.62479,0.004315,0.325669,0.25547,1.989304,1.102519,4.082806,3.620108,-0.491642,-5.574142,1
4.593646,0.719175,1.995917,0.228647,0.520349,0.345228,2.309671,0.867609,4.116939,4.002213,-0.301807,-6.309095,-1
29.922157,0.819569,1.321815,0.041604,0.358996,0.293625,2.179699,0.639444,3.711179,3.879773,-0.396168,-5.328368,-1
36.47867,0.889707,1.112256,0.085051,0.550876,0.327083,2.315839,0.702297,4.507462,3.79939,-0.50103,-6.196233,-1
190.274854,0.745067,0.780104,0.041836,0.294251,0.213729,2.105535,0.691687,3.790364,3.593518,-0.382087,-5.045194,1
37.264957,0.945366,-0.038916,0.435329,0.427172,0.331461,2.636295,0.577487,4.623591,4.630731,-0.414407,-6.253118,1
48.334853,0.898533,1.267376,0.116333,0.575527,0.304917,2.473533,0.508509,4.973904,4.471074,-0.459315,-7.116925,1
48.696857,0.98274,1.785851,0.049328,0.702443,0.376703,2.264663,0.643772,4.585701,4.119585,-0.460059,-8.389476,-1
58.133626,0.909979,0.743799,-0.149012,0.636257,0.422534,2.373053,0.799906,4.257668,4.407738,-0.445507,-6.726694,1
85.039367,0.683419,1.056232,0.14555,0.308938,0.312483,2.149786,0.415177,4.082799,3.764693,-0.341955,-4.524556,-1
70.272435,0.957379,1.861038,-0.045414,0.688135,0.390442,2.601591,0.714014,4.886001,4.668584,-0.527443,-8.096557,-1
205.330991,0.820682,0.644589,0.126899,0.41307,0.303116,2.628489,0.604568,4.451609,4.588,-0.446165,-5.848751,1
23.875349,0.664958,1.633556,-0.260867,0.538737,0.30254,2.446266,0.345501,4.216516,4.338799,-0.416703,-5.748854,-1
70.339956,0.999032,0.663046,0.222635,0.58174,0.328028,2.25787,0.602797,4.377795,4.125069,-0.41588,-7.687899,1
169.216672,0.974991,1.211974,0.058412,0.42328,0.31487,2.168357,0.507421,4.390896,3.706608,-0.326369,-6.697372,1
104.844493,0.903004,1.226371,-0.142858,0.506279,0.30688,2.884609,0.778129,4.431689,5.123675,-0.732785,-7.306414,-1
92.437226,0.862691,1.1722,-0.117716,0.518541,0.28248,2.709822,0.752017,4.476717,5.226054,-0.712422,-6.411553,1
328.22033,0.947352,0.842753,0.055861,0.30452,0.271672,2.443621,0.739856,3.869357,4.357691,-0.571721,-4.811923,-1
87.458008,0.892393,0.459642,0.077465,0.44089,0.361077,2.837526,0.46634,4.759247,5.269248,-0.549423,-6.236513,1
19.255583,0.629832,0.70519,0.087368,0.390542,0.402331,2.317712,0.341488,4.024408,4.160007,-0.460924,-5.399075,-1
3.022493,0.652651,1.810306,0.059506,0.375982,0.314483,2.179777,0.828367,4.144917,3.859594,-0.284634,-4.689531,-1
